tempo,lugar,setor,valor_x,QL_x,M_x,Kr,Ks,ICE,ICS,valor_y,QL_y,M_y,C,D,Co_r,Di_r,Co_s,Di_s,ICDC,ICUC
2022,15,1113,1935221.49,0.44557408294287476,0,127,11,-0.865805404840025,-1.2516246899276744,1685119.6600000001,0.14908433699483206,0,0,0,65,42,5,4,0.21495327102803738,0.1111111111111111
2022,17,1113,5147058.0,4.521237271258159,1,87,11,-1.1406666261376524,-1.2516246899276744,14174343.200000001,3.869770971343038,1,1,0,36,31,5,4,0.07462686567164178,0.1111111111111111
2022,21,1113,1612660.3599999999,0.5998715386179762,0,98,11,-0.9747683997394654,-1.2516246899276744,23317.58,0.0035433150419679226,0,0,0,41,40,5,4,0.012345679012345678,0.1111111111111111
2022,22,1113,3037142.8600000003,2.130932960875542,1,92,11,-0.9543835776222616,-1.2516246899276744,106662.28,0.019410646252433696,0,0,1,36,34,5,4,0.02857142857142857,0.1111111111111111
2022,23,1113,189086.81,0.039226064339576774,0,145,11,0.19656801220447823,-1.2516246899276744,117845.2,0.007844648903246734,0,0,0,74,52,5,4,0.1746031746031746,0.1111111111111111
2022,24,1113,284764.58,0.14192373222859456,0,119,11,-0.42417850125818135,-1.2516246899276744,75953.53,0.014944003605808276,0,0,0,66,45,5,4,0.1891891891891892,0.1111111111111111
2022,29,1113,12205613.56,1.614461070801662,1,185,11,-0.414412851921629,-1.2516246899276744,2565089.57,0.1086098422130445,0,0,1,92,70,5,4,0.13580246913580246,0.1111111111111111
2022,31,1113,26738727.75,1.5682106584721724,1,245,11,0.4027053862241134,-1.2516246899276744,158992320.98000002,2.404952700298154,1,1,0,156,78,5,4,0.3333333333333333,0.1111111111111111
2022,35,1113,22655041.81,0.36698046625137415,0,398,11,2.527654633380877,-1.2516246899276744,59590919.55,0.23729151471090643,0,0,0,294,99,5,4,0.4961832061068702,0.1111111111111111
2022,41,1113,22345266.9,1.8388141710660013,1,283,11,1.360404121589458,-1.2516246899276744,55444019.73,0.9443448688690688,0,0,1,159,104,5,4,0.20912547528517111,0.1111111111111111
2022,42,1113,3226348.5300000003,0.3417166799065448,0,268,11,1.6137367799271582,-1.2516246899276744,17029969.96,0.34470725947737807,0,0,0,170,86,5,4,0.328125,0.1111111111111111
2022,43,1113,43364453.47,3.77074849987109,1,248,11,1.4063703732174837,-1.2516246899276744,368431691.94,7.51830682390712,1,1,0,178,59,5,4,0.5021097046413502,0.1111111111111111
2022,50,1113,12227295.77,4.56478917351808,1,132,11,-0.5597758561905196,-1.2516246899276744,17856239.26,1.9399552697323232,1,1,0,74,35,5,4,0.3577981651376147,0.1111111111111111
2022,51,1113,16953216.19,4.612005629385737,1,112,11,-0.8213564437208803,-1.2516246899276744,52313788.559999995,2.2987236114216425,1,1,0,57,48,5,4,0.08571428571428572,0.1111111111111111
2022,52,1113,14715335.51,2.606032363980773,1,197,11,-0.1672898435729361,-1.2516246899276744,13904582.270000001,0.604239285613211,0,0,1,134,47,5,4,0.48066298342541436,0.1111111111111111
2022,23,1121,186604.89,0.19351131432732005,0,145,5,0.19656801220447823,-1.8027292551428202,3140479.3,2.1776423783274974,1,0,0,74,52,2,0,0.1746031746031746,1.0
2022,29,1121,10970767.09,7.25395401157084,1,185,5,-0.414412851921629,-1.8027292551428202,40544145.36,17.882317828457285,1,1,0,92,70,2,0,0.13580246913580246,1.0
2022,35,1121,1788205.3699999999,0.14479891778502768,0,398,5,2.527654633380877,-1.8027292551428202,11903038.89,0.4937293959698292,0,0,0,294,99,2,0,0.4961832061068702,1.0
2022,51,1121,19839733.82,26.980091038722673,1,112,5,-0.8213564437208803,-1.8027292551428202,17594234.16,8.053227407304188,1,1,0,57,48,2,0,0.08571428571428572,1.0
2022,22,1130,137611.5,0.06417812754977466,0,92,9,-0.9543835776222616,-0.8918889888188479,157934.32,0.00725269474217143,0,0,0,36,34,4,4,0.02857142857142857,0.0
2022,24,1130,2082986.45,0.6900542671673765,0,119,9,-0.42417850125818135,-0.8918889888188479,30750.39,0.0015267340129701368,0,0,0,66,45,4,4,0.1891891891891892,0.0
2022,25,1130,8528615.96,2.7936388081481383,1,107,9,-0.49279991839682596,-0.8918889888188479,2386914.25,0.17263246082204134,0,0,1,55,33,4,4,0.25,0.0
2022,26,1130,14509576.040000001,1.815250250818166,1,178,9,0.20141770687139868,-0.8918889888188479,10749983.05,0.19918927659378066,0,0,1,87,65,4,4,0.14473684210526316,0.0
2022,27,1130,15901349.83,6.436061514024204,1,88,9,-0.6258161837883032,-0.8918889888188479,233410894.4,16.78980408371689,1,1,0,41,23,4,4,0.28125,0.0
2022,28,1130,5720339.42,2.979648388610923,1,113,9,-0.5237642321274852,-0.8918889888188479,864622.99,0.09099598956429732,0,0,1,43,34,4,4,0.11688311688311688,0.0
2022,29,1130,1122890.0,0.09872631400182595,0,185,9,-0.414412851921629,-0.8918889888188479,1597.3200000000002,1.7066809049700463e-05,0,0,0,92,70,4,4,0.13580246913580246,0.0
2022,31,1130,15102457.56,0.5887609978481505,0,245,9,0.4027053862241134,-0.8918889888188479,86717038.98,0.33100044841482407,0,0,0,156,78,4,4,0.3333333333333333,0.0
2022,32,1130,630908.9400000001,0.13288505385310487,0,205,9,0.3206478808019373,-0.8918889888188479,1548837.85,0.030907584197818205,0,0,0,110,70,4,4,0.2222222222222222,0.0
2022,33,1130,1230092.39,0.046831247108802564,0,189,9,1.5017861398696477,-0.8918889888188479,13926817.15,0.038458075762300724,0,0,0,63,106,4,4,-0.25443786982248523,0.0
2022,35,1130,156818526.94,1.6885082888967744,1,398,9,2.527654633380877,-0.8918889888188479,2364634768.41,2.376073903330712,1,1,0,294,99,4,4,0.4961832061068702,0.0
2022,41,1130,10885290.32,0.5954153942378275,0,283,9,1.360404121589458,-0.8918889888188479,29587760.939999998,0.12716915003264045,0,0,0,159,104,4,4,0.20912547528517111,0.0
2022,50,1130,16205803.21,4.02150501239148,1,132,9,-0.5597758561905196,-0.8918889888188479,135485843.2,3.714406155402726,1,1,0,74,35,4,4,0.3577981651376147,0.0
2022,51,1130,8756314.44,1.5833860850634025,1,112,9,-0.8213564437208803,-0.8918889888188479,38273884.53,0.4243916967090901,0,0,1,57,48,4,4,0.08571428571428572,0.0
2022,52,1130,25607841.85,3.0144658080520896,1,197,9,-0.1672898435729361,-0.8918889888188479,103140279.22,1.1310272457871613,1,1,0,134,47,4,4,0.48066298342541436,0.0
2022,29,1148,2868923.34,21.365334408704552,1,185,3,-0.414412851921629,-0.7972963599443723,4815.31,32.27745812669093,1,1,0,92,70,1,0,0.13580246913580246,1.0
2022,11,1156,4936753.67,1.3705985365112514,1,120,10,-0.6938859163710657,-1.664551931192211,21665566.12,0.38089991029240816,0,0,1,66,34,5,5,0.32,0.0
2022,13,1156,173036.08,0.024809680370244797,0,132,10,0.9635674822356259,-1.664551931192211,56188.630000000005,0.0004318916891153822,0,0,0,64,34,5,5,0.30612244897959184,0.0
